Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
Aip	172635	182031	173783	186818	166260	161980	130292	148339	146714	156101	148737	147026
Ajuba;Limd1;Wtip	26884.4	16501.2	32335.4	29737.7	28662.2	24997.9	19446.1	21505.7	29039.8	27754.3	31154.1	17319.6
Ak1	163583	168435	170550	160558	316616	366257	338251	359762	298176	262544	254537	292482
Ak2	405146	420061	432432	392389	365029	480490	474243	471464	395321	406538	383958	401416
Ak3	129758	149278	155378	153896	251891	257623	217403	239393	188119	170474	184499	166387
Ak4	54319	61438.9	65027.6	62274.6	74760.9	77751.4	88150.5	97447.5	106098	121104	119114	128962
Ak5		8844.43			11456.5	3064.21		2460.51		6178.79	5821.36	4636.2
Ak6	65546.2	74787	58593.3	48498.5	34005.2	55922	50079	63097.9	54858.9	63277.4	50397.6	71540.3
Akap1	78786.4	63048.4	72992.5	75224.5	45094.9	55221.8	52746.2	49751	51510.6	63309.2	65675.3	74237.1
Akap10	26496.3	27221.6	30043.1	29736.9	29915.9	32628.7	32143.1	35143.4	21772.1	25852	27114.4	30641
Akap11	17445.1	16350.7	16290.1	16806.3	27803.6	24326.6	23379.6	23653.5	13430	15366	13481.4	14758.5
Akap12	51155.4	53995.2	54126	56705.9	26768.7	24124.3	22257.9	25964.3	47325.8	49870.3	45008.6	46763.1
Akap13	5149.31	6761.61	7665.73	5492.7	6750.96	5388.92	4514.11	1838.34	8751.92	7798.41	9020.97	6613.8
Akap2	119858	139761	144587	117905	160170	189934	179548	175466	152945	151256	138223	140581
Akap6			5012.73	2667.41	920.352					5902.29	5757.19	
Akap8	147002	152474	151673	147875	140556	148112	145940	169146	145468	129752	129296	128828
Akap8l	62003.7	62813	64572.8	72514	57843.7	59913.9	56233.4	67702.1	94228.3	88084.8	88613.8	78893
Akap9	41097.8	48262.9	49978.2	51933.3	47133.4	47259.9	42356.5	46271.8	40905.2	40371.9	41901.4	45905.3
Akirin2	36532.8	41833.5	38430.1	39185.4	29468.1	34577.8	31679.3	31025.2	23003.8	23567.9	25393.9	26762.5
Akr1a1	879788	908225	938576	850588	836810	1.03E+06	1.09E+06	1.09E+06	724524	730336	668429	744086
Akr1b1	622486	604502	689554	600271	695816	751249	696780	698907	713019	710597	694883	610799
Akr1b10	71647.5	76255.9	63532.1	69330.2	137183	151063	156091	146767	88947.7	87222.7	67494.3	85847.9
Akr1b1;Akr1c13		640873	592757	539621		730034				628008		716173
Akr1b7	107270	158049	108013	95838.2	131836	166197	149931	178169	415288	352856	410362	321766
Akr1b7;Akr1b8	434397	518792	480514	480206	749176	720569	625287	714025	1.10E+06	872726	820375	624476
Akr1b8	223449	250048	260835	255216	321951	423638	440652	459125	325347	333828	315067	352551
Akr1c13	104809	102904	116004	113948	132659	142579	124333	123480	87435.8	88048.3	79662	85800.1
Akr1c19	17377.3	26316.6	26701	24432.4	33896.8		12000.5					10670.9
Akr1e2	565391	599788	602652	567695	545704	629436	679023	634006	541769	627636	611198	685984
Akr7a2	110079	111751	118275	114064	95916.1	106741	113996	109830	106080	107817	106777	115116
Akt1	105198	108901	112708	122320	116771	121290	106592	111768	98082.8	99957.9	98426.1	101199
Akt1;Akt2	8593.9	5111.71	5831.23	1903.62	6927.52	4303.96	49.9458	3427.28	9352.49	5634.21	4644.22	4205.84
Akt1;Akt2;Akt3	43355.4	25378	58952.1	49488.5	53788.6	32795.9	42403.3	43197.8	38409.7	47091.9	42112.7	43453.9
Akt1;Akt3	30814.8	25239	28983.3	24295.4	18494.1	15240.8	20213.8	20179.9	29092.7	26905.7	31821.5	15041.8
Akt1s1	37562.5	40403.4	41532.5	32522.2	29861.4	36692.1	38936.3	44052.8	31518.7	36044.9	34600.1	39584.6
Akt2	30952.2	26462.9	33602.1	37575.4	30304	35594.6	29399.8	25902.8	46068	39053.7	41616.6	39116.8
Akt3	25198.6	27643.8	32140.2	35643.6	15615		22680.1	21308.5	18141.7	17270.6	25238.3	19420.7
Aktip	9103.05	6423.12	5948.66	5506.62	1635.65	3469.28	6215.76	7732.63	5834.51	5069.38	6564.4	5813.25
Alad	61369.6	47843.5	57711.4	52235.8	68532.3	66332.2	56387.2	59182.7	72094	82254.5	76526.5	63316.7
Alb	2.91E+06	2.47E+06	3.12E+06	2.20E+06	1.65E+06	1.80E+06	1.01E+06	971949	1.08E+06	1.06E+06	1.16E+06	1.07E+06
Alcam	19983.3	25591.4	20238.1	20817.9	20201.9	21016.8	31114.8	17372.9	15366.8	15453.5	15700.7	21179.6
Aldh16a1	185546	181136	162268	186023	165285	145915	170811	158337	173857	177640	159901	196847
Aldh18a1	389412	383331	424160	428427	388302	440543	398174	392256	458773	481867	485972	512546
Aldh1a1	18567.6	17760.5	18182	16147.9	10196	15500.6	20562.7	20126.2	4968.3	11990.4	12556.6	15802
Aldh1a1;Aldh1b1	30961.4	25050.8	32826	31686.2	23856.7	30341.5	30528.2	30438.5	33554.4	31350.7	33026.2	30549.9
Aldh1l1	58026.3	55703.4	59107.5	55143.4	200592	182996	158974	180747	25467.4	26726.4	20463	26957
Aldh1l1;Aldh1l2	253413	253221	243492	316603	268416	298098	259086	300401	500595	463164	450651	469894
Aldh1l2	221524	223193	215233	284455	209331	211802	208908	223807	423631	434816	441585	466274
Aldh2	1.32E+06	1.34E+06	1.40E+06	1.40E+06	1.39E+06	1.64E+06	1.60E+06	1.52E+06	1.38E+06	1.47E+06	1.39E+06	1.57E+06
Aldh3a2	199614	199362	209370	188587	205717	214629	184064	171878	190412	207175	242564	257472
Aldh4a1	41177.7	49899.9	46978.1	45469.7	60671.5	59438.7	60215.2	64553	51658.4	56639.5	53964.6	56036.4
Aldh5a1	35069.5	31512.2	38436.2	38644.5	46320.1	40068.7	38953.8	43210.6	29292.4	25351.7	27577.5	30549.5
Aldh6a1	108646	109709	110855	117551	157622	152686	167232	162208	177456	191190	173467	178615
Aldh7a1	55600.1	54331.3	51872.5	57101.1	67026.1	60886.3	56926.8	55164.1	54911.3	58105.6	54817.4	56035.4
Aldh9a1	166566	159749	170217	174897	148461	150123	143912	153771	107184	111483	106874	112641
Aldoa	2.53E+06	2.70E+06	2.72E+06	2.58E+06	2.65E+06	2.99E+06	3.22E+06	3.03E+06	1.83E+06	1.92E+06	1.80E+06	2.07E+06
Aldoa;Aldoart2	1.94E+06	1.95E+06	2.20E+06	2.07E+06	1.85E+06	2.46E+06	2.28E+06	2.31E+06	1.22E+06	1.37E+06	1.34E+06	1.43E+06
Aldoart1	5452.6	6399.23					10364.3	6092.01				
Aldoart2	631867	628583	853194	762079	581672	685747	637277	722068	500024	596742	715670	551146
Aldoc	570169	600901	563550	658393	1.56E+06	1.71E+06	1.63E+06	1.79E+06	547370	592779	581832	605091
Alg1	17938.4	13175.3	13111.2	9171.89	11442	7393.95	11487	5534.44	11090.6	7308.28	11227.9	14618.3
Alg10b	6436.07	6015.93	7470.29	8200.66	7263.55	10664.9	6684.21	9085.11	17470.6	13103.5	14430.1	10794.5
Alg11	8528.07	4194.76	6771.56	5014.39	5068.25	4881.68	4129.78	6425.91	4344.18	5924.95	6019.97	8298.82
Alg12	876.189		2806.56		3906.71	2983.43			5243.29	3740.24	4566.72	3608.48
Alg13	13847.4	15387.4	14714.6	13685.2	15551.9	18086.7	16665.6	17277.9	9709.01	12502.2	14261.4	14859.2
Alg2	41138.7	38762.6	40282.3	45308.7	43414.7	37433.4	36079.7	33946.1	41838.8	42207.4	47322.3	40203.6
Alg5	39847.4	30802.4	38888.5	29340.3	37568.4	47235.6	50825.6	40666.6	28913.8	38409	40222.6	48465.3
Alg9	10323.6	7372.62	9297.23	3533.27	4509.54	6500.12	9724.02	4924.98	6847.84	12746.7	16708.3	13651
Alkbh3	45316.3	53291.6	45097.9	46113.1	43922.3	53459.8	58428.7	62540.2	46311.6	48473.3	44426.9	54625
Alkbh4	7128.86	10454.1	6655.54	7301.03	8493.42	6971.7	5375.64	10658.1	6924.51	8393.97	6363.92	8374.1
Alkbh5	28309.5	29520.1	30500.9	30947.1	26271.8	28310.6	32523.2	30850.9	20734.4	22290.6	23024.5	25474.1
Alkbh6	25778.2	36311.9	33419.8	27881.5	36638	37149.8	36697.2	35014.3	37973	35088.7	31263.6	33953.6
Alkbh7	16830.7	22379.4	21555.7	19238.2	4614.37	19624.9	13075	12507.9	15185.5	15501	22130.1	20346.6
Alkbh8	11672.1	7949.78	7915.53	13497.2	7625.68	8260.32	5777.58		16271	12217.6	14364.7	9928.34
Als2	27027	25972	26259.3	25344.2	22875.6	29117.1	26912.7	29783.8	15121.1	17298.2	15738.7	23302.4
Als2cl	2882.52	4387.27		6801.84	3660.9		6405.2					
Alx3	25944.7	29547.6	26548.6	25817.7	17707.8	19631.2	24185.6	34832.3	12163.5	18645.7	20533.6	17915
Alyref	413400	459191	420703	388337	305262	391405	370508	377153	345251	375651	356128	393677
Amacr	22644.9	25918.2	25499.6	25102.6	31386	34473.2	34426.9	35551	21346.9	21721.6	23140.3	24414.2
Ambp	50061.2	35128.7	52088.7	37947.7	17997.9	24052	25099.5	29064.9	16170.5	20261.6	20959.6	19685.5
Ambra1	27277.4	35228.2	28787.5	28370.8	28218	37035.4	38423.9	33430.1	28963.3	24325.9	28006.8	28979.2
Amd1;Amd2	61679.5	58075.9	60955.4	57127.2	14426.6	14626.7	18491.1	17687.1	19097.3	15403.6	16902.1	18614.6
Amdhd2	84006.9	97209.5	97415.2	91902.9	83467.6	106105	110960	117151	54305.4	53075	52026.5	57939.6
Amer2		16260.5		22182.6		18351	19304.4	15990.9	21563.1	18405.2	17121.5	15372.5
Amfr	35029.8	33775.5	30563.1	27517	21866	19534.6	20887.1	17711.9	20877	21799.6	27018.6	27076.8
Ammecr1	39130.2	42859.7	39559.7	36449.9	34084.1	39284.1	27327.9	37072.1	20825.4	25500.4	25462.8	37098.5
Ammecr1l	18446.9	19494.9	10386	15791.6	13914.3	6522.6	11183.6	16211.6	17417.3	16047.3	17925.1	20889.5
Ampd2	90976.7	89530.4	83707.4	85989.4	124493	123661	119239	119728	81709.2	85084.2	88666.8	92851.5
Ampd3	13190	12630.7	13382.2	17316.2	14476.6	11372.8	6004.58	7413.77	7526.13	7014.14	7721.49	7298.85
Amz2		1271.35	464.695	3429.27	1494.35	1973.9	2100.4		2467.68	651.122	2370.85	
Anapc1	38853.8	32897	33491.4	37149	29960.1	28675.3	28862.4	24092.3	25267.9	30243.7	29294.9	31875.8
Anapc10	16544.1	15604.3	18164	7622.88	13794.5	11636.4	19013.4	16109.4	9036.44	14697.4	13961.1	16465.7
Anapc15	36753.7	46194.3	31916.8	29923.1	8763.36	28959.9	36693.8	39053.4	16666.5	19314.2	18262.7	27880.4
Anapc16	22814.7	28104.8	27995.7	23482.6	23073.4	30483.3	29889.6	31362.8	19213.1	22903.9	23512.1	28354.5
Anapc2	32776.1	36926.3	43301.7	39670.8	51675.9	34279.4	29732.6	23577.1	38688.5	42070.8	39395.3	30239.1
Anapc4	58856.9	48386.6	62318.5	62342.1	44881.1	48841	42918	45040.2	45362.6	50271.7	46893.2	52008.3
Anapc5	29401.2	26687.9	27009	27087.6	23790.4	24726.8	21834.2	18458.6	17757.1	21806.5	22156.2	23513.8
Anapc7	62871.8	62721	59166.1	60889.3	56997.3	55349.1	56183.8	58197.8	50609.7	57793.6	55279.2	64780.9
Angel2	19063.4	20952	18583.5	19857.6	11550.1	15121.7	14985.8	15191.5	23569.4	23099.3	26849	26009.2
Angpt2	13782	10030.8	10899.8	13495.6	5448.22	9483.09	9115.79	10538.8	11111.7	12924.8	10499.7	16245.9
Angptl2	42235	45848.8	43608.2	41293.2	56724.7	75221.6	75342.2	72174.3	44395.2	40687.3	41108.6	44032.5
Ank2	41784.5	44018.1	39808.4	41887.7	35290.7	43916.8	39022.1	36926.6	30018.6	33907.4	36435.9	43188.8
Ankar	1328.64	1103.69	1545.56	1137.92	1106.28		422.268	2256.51				
Ankfn1	6806.33	8234.79	7006.34	6843.12	6793.37	7086.16	9230.31	8572.9				
Ankfy1	57026	53124.6	54027.3	55187.2	54008	50017.4	45139.6	44528.2	47309.8	52453.8	51805.8	55891.6
Ankh	3235.9	5737.89	2948.3	1308.76	1204.66	2543.56	5749.99	3232.66	2328.86	2588.06	2515.24	3805.04
Ankhd1	53205.2	55104.6	51444.4	51650.9	43915.7	45923.5	44602.9	51579.9	32022.2	37942	37445.7	45549.5
Ankib1	18208	19501.1	12368.8	15545.8	16275.3	17929.3	19890.5	18708.2	12959.5	17089.5	16423.3	18252.1
Ankle2	29064.3	29494.5	31978.2	30668.3	24552.8	25424.6	29753.1	24499.5	27314.4	32826.6	29668.4	29709.8
Ankmy2	22452.6	25463.9	22618.9	24739.4	24337.9	27844.4	26942	26484.6	21425.8	22838	21052.9	22883.9
Ankrd10	27833.9	28431.8	29525.4	28694.8	22720.9	23759.9	25165.5	27110.5	21517.8	18177.7	21872.6	18583.5
Ankrd11	3840.42	10827.5	8092.03	7370.31	8176.23	6590.29		9230.28	2861.11	5065.36		9105.73
Ankrd13a	26688.4	24127.6	27897.4	24439.7	24319.2	22632.5	21762.4	18529.1	23377.5	22200.7	22431.4	19298.3
Ankrd17	45363	41668.8	41687.9	41933.8	31146.4	34875	37352.6	33002.8	28605.4	33240.8	34205.3	37162.2
Ankrd28	26066.2	33453.1	29100.8	25173.1	26582.7	24735.3	31006	29390.9	23730.2	24154.9	25931	30244.6
Ankrd39	29607.9	24613.9	29377	27781.6	22546.3	27144.4	25666.7	31482.5	17146.2	20180.4	20854	21626.2
Ankrd40	34942.8	33697.6	37079.4	33382.2	25475.7	34432.2	31381.8	27812.6	29599.4	36892.1	32399.9	35621.7
Ankrd46	18219.1	22981.6	14061.1	9815.08	26209.4	16845	20529.3	16886.9	13254.4	13283.6	21542.1	17085.7
Ankrd49	23220.2	26380.9	23365.7	23278	24755.5	27445	29123.3	30914.3	25332.2	26744	26223.2	29334.6
Ankrd50	15706.8	16342.7	15004.5	15021.8	8981.24	11375	12360.3	11220.6	13926.4	15068.5	14767	19057.5
Ankrd52	24876.2	23642.3	23455.2	25741.1	18158.5	17984.7	16298.3	18375.5	11431.2	16077.1	14681.4	17908.1
Ankrd54	10227.7	16171.2	10818.7	16060.7	9749.93	8519.34	13963.4	12108.4	13766.9	12261.1	13785.6	11116.2
Ankrd6	7411.86	7572.58	3989.97	6482.96	4714.26	6589.29	7381.64	7241.25		3539.07	5253.91	2594.81
Ankrd9	4027.63	4740.16	1143.01	3321.86	5990.15	3694.05	6064.84	3101.59	3358.29	3673.66	2698.54	6294.27
Anks1a	36974.6	37812.1	35292.3	35801.2	34246.1	36891.7	35531.1	40923.2	20043.8	25356	26156.6	32779.1
Anks6		10240.1		16542.9	14259.5				9129.99	12780.9	15616.9	19534.5
Ankzf1	38219.1	49780.1	46915.4	51925	49296.3	58219.8	62650.5	61241.6	54313.5	63431.8	57346.9	66913.2
Anln	62053.9	57351	60834.1	62781.7	77346.3	84132.3	77197.1	73341.8	85494.4	89407.7	91372.3	92306.1
Ano10	20810.7	19794.2	18339.8	18536.2	25199.2	17575	16029	10795.4	19714.3	19832.6	23612.8	25389.8
Ano6	24247	17566.8	28908.6	21717.6	21562.3	23105.6	20586.8	21728	19854.5	21785.9	25081.6	20618.3
Anp32a	229081	238457	282536	300667	284451	304293	225864	240795	235345	234159	225945	220237
Anp32a;Anp32b	530269	549532	573376	593838	512532	532644	494586	560244	648519	621637	610656	515252
Anp32b	1.64E+06	1.73E+06	1.61E+06	1.57E+06	832305	1.33E+06	1.44E+06	1.40E+06	1.37E+06	1.42E+06	1.48E+06	1.45E+06
Anp32e	231810	256026	274976	286078	237105	283782	218036	222290	165151	184252	185564	197968
Antkmt	18817.3	17900.9	20648.5	20015.2	33091.6	25885.8	25223.3	29702.6	18786.3	22338.8	28042.9	23093.3
Antxr1	19266.3	19944.3	19173.3	15691.7	16764.9	22939.4	20090.4	18224.8	9994.57	11468.1	10731.1	10478.2
Antxr1;Antxr2	14117.4	10511.3	8274.27	12179.7	12426.4	9118.86	13343.4	15329.1		12905.6	9687.14	10501
Antxr2	11354.5	9215.17	10514	7272.59	13491.1	14119	9959.84	10439.2	3351.38	7114.18	8302.52	11731.4
Anxa1	675427	717782	710626	605719	304411	380768	422814	406056	811303	770064	769657	828054
Anxa11	96780.5	97509.9	103487	122491	135442	134828	141499	128744	189984	183466	176961	181182
Anxa2	488105	492703	539171	542535	616992	599113	623483	595490	972753	944224	906042	966426
Anxa3		116604	112165	130889	155788	157546	114800			230644	202315	
Anxa4	127453	134926	137717	163384	245087	226586	231472	236643	159829	157183	145965	157121
Anxa5	2.09E+06	2.33E+06	2.48E+06	2.56E+06	3.27E+06	3.33E+06	2.81E+06	2.83E+06	3.68E+06	3.54E+06	3.40E+06	3.01E+06
Anxa6	165564	163694	179582	187476	188622	175431	153557	153708	399629	373492	367391	360880
Anxa7	108272	95408.9	105449	112496	115375	105161	114375	108671	183425	188877	187223	192597
Aox1	2116.17	1282.96	599.427	1059.2	1299.96	3020.24	3215.18	2387.82	2242.1	2216.12	2573.4	2438.68
Ap1ar	3189.36	2049.15	2722.25	617.872			1194.02	956.002	709.716		523.611	695.853
Ap1b1	95416.4	91370.9	86368.6	84753.4	111771	104701	87275.2	83679.3	89859.9	98010	97387.4	93460.3
Ap1b1;Ap2b1	190534	161094	182028	187444	201774	175974	141479	143720	180548	186308	194243	177237
Ap1g1	95917.3	80400.4	86405.2	103706	130133	94673.6	70085.1	69844.6	112837	110645	114105	95388.9
Ap1g2	33860.4	33055.2	34117	33582.5	51733.2	46394	43354	40809.7	35018.8	40433.4	41182.8	35501.9
Ap1m1	164738	146118	153615	171608	205394	175180	167320	153084	161389	162119	153397	165170
Ap1s1	79368.7	63438.2	82748.5	86670.2	116866	102690	69071.8	63168.7	110141	91192.2	102486	90340.9
Ap2a1	175499	145794	154457	164767	178154	159546	135346	140392	141772	151042	140314	150868
Ap2a1;Ap2a2	261551	206257	211665	225608	199334	209654	209485	206120	180019	185616	191319	196029
Ap2a2	89241.8	78981.9	87865.6	91701.7	82431.2	83614.3	67656.2	68345.8	79972	85738.7	81351.4	86426.1
Ap2b1	175234	163057	161678	162828	155930	142222	120746	107312	137668	150784	144981	155884
Ap2m1	298533	265978	286298	282033	307773	268904	252370	227861	238927	249762	270063	274809
Ap2s1	280093	261751	257674	281238	337367	308059	253197	223261	306909	307242	316781	271623
Ap3b1	149878	149669	159489	167091	212666	197216	176806	181825	139941	134549	137860	140145
Ap3b2	12427.4	14736.8	10986.8	10994.2		10277.8	10877.9	16840.1	4256.47	10281	8693.07	11925.7
Ap3d1	54532.1	44642.3	46811.7	51945.6	69535.6	60339.4	47569.9	45832.8	51742.1	48807.6	46084.3	44128.2
Ap3m1	76841.2	66636	73331.8	80745.7	85000.4	86697.2	82153.5	85099.2	65679.6	66685.5	66080.7	68194.3
Ap3m2	64743.4	59941.3	65408.2	60408	77566.9	74328.5	67150	66539.9	51464.4	54915.9	49126.7	57093.3
Ap3s1	45463.4	44489.9	47772.1	48094.5	58363.3	51170.9	50375.6	52714	44254	44993.5	45495.8	45160
Ap3s2	49722.9	65179.7	69829.9	73473.1	87248.4	88883.1	82441.4	83709.2	57137.6	48914.1	54474.7	53015.5
Ap4b1	7953.96	6900.16	4079.25	9430.39	8903.92	9516.13	7285.97	7871.69	10434.9	12602.2	10353.7	9910.86
Ap4e1	4224.62	5006.43	2963.89	3590.08	3318.76	5895.09	4409.35	3224.83	3355.03	3970.9	3714.6	2277.58
Ap4m1	13100.1	13184.4	13106.4	12041.2	14261.4	13114.9	11146.3	12113.5	10074.8	15215.8	11002.7	20119.1
Ap4s1	19773.3	24968.4	19333.4	17274.8	18267.3	25694.6	30767.2	19168.8	11228.3	14159.8	16043.8	17571.9
Ap5b1	14414.7	10283.4	11159.6	11828.8	13078.6	10740.6	13924.3	11566.6	11209.8	13123.8	12341.5	15186.2
Ap5z1	10022.1	11750.1	10348.4	9784.74	11918.7	12462.5	11336.8	13229.4	10187.4	11512.9	9896.11	12256.7
Apaf1	56400.2	56361.6	60454	58825.7	55772.6	55625.8	46790.3	52973.4	29973	28508.7	34394.7	26154.7
Apba3	5576.06	3164.01	3695.2	5200.63	5490.88	6410.21	5582.01	4367.27	5979.96	4586.81	6125.41	7356.31
Apbb2	6975.52	11109.5	7186.66	10894.6	16315	9353.15	4527.62	9828.59	9215.86	8114.75	6810.67	7391.89
Apc	2445.73	1571.29	1500.38	4282.44	2806.73	2268.29	2591.43	2613.59	2415.11	1728.84		
Apeh	113273	118113	117404	119195	176794	179961	174343	164035	136401	162372	154327	158697
Apex1	128157	122398	131935	151943	146206	135293	117933	114047	150427	162431	168622	159144
Aph1c	9921.21	5165.53	4128.06	5858.63	11026.6	9857.58	4316.24	5625.84				
Api5	181641	185775	179422	196338	203033	177322	138977	144424	183133	183924	190975	168092
Apip	218361	199819	220341	210396	171908	180468	176931	183602	132387	166012	143124	138467
Aplf	37974.1	36148.7	39717.2	37885.5	39626.2	45079.8	35469.3	48574.3	24778.6	28417.4	29004.2	32167.6
Aplp2	99732.6	100807	98165.6	64586.5	249416	323160	284507	298588	21001.7	19514.2	19813.5	25112.3
Aplp2;App	65988.4	55480.1	60748.6	43522.9	216674	235481	238876	248237	21899	14292	31869.3	25277.2
Apmap	54200.6	51617.9	51409.3	47351.3	50521.3	49955	49440.8	46264.7	51740.1	48258.6	51833.9	49884.1
Apoa1	141728	138999	149466	106511	102333	119033	121237	92589.9	49971.9	67048.4	53903.4	57373.3
Apob	149026	138969	145537	95638.5	148582	172536	166563	159171	44544.6	38680.8	61776.9	82287.2
Apoe	107503	127423	129673	123699	340457	337171	352244	379615	26487.7	25317.5	23492.6	23052.3
Apold1					4693.02	2037.71		1587.69				
Apoo	68564.1	68844.3	60585.2	60876.1	87397.6	75131	66967.4	66788.9	63298.8	59925.7	69230.4	69407.2
Apool	30806.7	26171.4	26006.8	24793.2	30213.4	35925.7	29221.1	32465	21003.3	24471	26646.8	30221.4
App	52747.9	50167.8	56615.7	42516.8	195646	275636	221445	245656	32513.2	25206.3	16744.4	25316.8
Appbp2	5845.02	6048.64	3901.5	6329.87	4306.33	3736.66	1696.11	3234.92	3761.59	4576.96	4597.79	
Appl1	35968.7	39076.9	44226.1	33395.7	27300.8	36011	32553.2	34729.8	25976	33914.2	30446.6	33802.3
Appl2	45872.6	42043.3	46161	51262.5	63919.3	59858.9	52470.5	59169.6	23517.3	30988.9	26100.2	33683
Aprt	1.64E+06	1.76E+06	1.86E+06	1.91E+06	1.55E+06	1.79E+06	1.65E+06	1.85E+06	2.11E+06	2.28E+06	2.16E+06	2.19E+06
Aptx	26634.7	24597.2	27820.3	26398.1	9556.33	21218.7	19643.5	9721.43	18652.1	24759	26879.9	27556.9
Aqr	56611.9	48694.6	54521.6	52960.1	42030	38898.3	34972.3	35417.7	44907.5	49914.4	53439.5	46928.6
Araf	32586.7	30510.2	31541.8	30695	37615.6	38013.9	33049.7	38419.4	34548.3	37727.2	39002.7	40392.6
Araf;Braf;Raf1	41414	39518.5	47043.2	43003.8	58889.8	52150.8	45996.8	48069	33887.9	49417.4	54048.6	54050.2
Arap1	45895.4	50276.7	33518.6	41601.8	44732.5	47248.3	40837.6	43636.7	41260.8	49871.3	46951	57173.5
Arcn1	329491	327749	368994	364585	323661	347401	332675	340763	336217	330650	314692	319118
Arf1	19967.7	17750	22443.1	22191.4	30185.1	21584.5	19645.5	24214.5	22652.8	27587.2	30408.9	31039.1
Arf1;Arf3	753607	805757	877299	895417	1.01E+06	1.11E+06	641184	780064	908570	1.06E+06	1.00E+06	992384
Arf1;Arf3;Arf5	373461	309099	413642	454626	443107	591890	261176	235129	760118	700712	796209	545909
Arf2	26112.5	25948.2	32842.6	36317.6	26759.9	33120.8	25651.9	18351.9	67426.2	47060.3	61142.9	34795.6
Arf3	6552.58	8374.07	6704.67				7109.56	7081.73	6936.11	9538.82	18686.8	11576.5
Arf4	197538	226071	215483	230018	388514	236858	147161	140217	281885	258648	298600	223803
Arf5	140892	121786	139292	148725	152660	151862	109180	99805.6	173445	155697	188996	143629
Arf6	138832	112897	138026	139641	127830	118188	67997.3	69234	131583	138233	168620	131161
Arfgap1	92010.7	93444.5	102628	107058	96812.3	100549	100371	104472	86032.3	85401.1	84907.7	80781
Arfgap2	125129	142155	134066	125813	132355	151885	156510	164438	139646	145621	135466	148013
Arfgap3	33942.7	41984.2	35939.5	39157.5	37552	47832.7	53078.8	54635.6	38644.4	43439.8	40542.6	45538.1
Arfgef1	34804.3	39271.1	32022.3	35175	35562.4	31246.3	26825	29075.3	30998.7	33207.6	36833.6	38241
Arfgef1;Arfgef2	51125.1	39316.2	43519.4	51061.6	58084.9	49620.8	32665.4	33190.5	46700.6	45114.7	43054.6	45377.4
Arfgef2	33664.1	29254.2	33784.6	31108.1	35603.2	31376.8	26966.1	29900.3	23072.5	26611.1	28854.4	30609
Arfgef3	57594.6	57155.3	56651.2	55221.5	59769	51656.1	46632.7	47267.9	12031.9	13751.3	13721.5	15641.3
Arfip1	86808.5	89191.5	97713.2	100781	147957	152423	126469	120095	127447	130883	119982	127039
Arfip2	21750.3	20516.6	22760.4	25225.1	29023.6	29384.2	25969.6	26270.4	29018.2	23980.8	25694.1	26279.9
Arfrp1	22384.6	18835.3	17479.1	21330.7	23017.3	19509.9	16218	15166	16612.6	17806	18635.3	20441
Arglu1	92276.2	103791	115928	112415	66238.2	88396.2	84231.8	76713.7	92597.7	73037.3	73706.7	76066.7
Arhgap1	112546	112018	116796	123359	138488	143809	115754	120058	101790	103236	99035.9	105064
